setup,n,wins,losses,neutral,win_rate_pct,avg_pnl_pct
MOVER_TREND_PULLBACK,355,83,152,120,23.4,-0.1484
FAILED_AUCTION_RECLAIM,213,37,68,108,17.4,0.1936
SR_FLIP_RETEST,194,51,72,71,26.3,0.0323
DIVERGENCE_CONTINUATION,96,28,47,21,29.2,-0.0088
LIQUIDITY_SWEEP_REVERSAL,80,15,39,26,18.8,-0.1161
MOVER_AVWAP_SCALP,43,6,17,20,14.0,-0.042
VOLUME_SURGE_BREAKOUT,27,3,14,10,11.1,-0.2025
BREAKDOWN_SHORT,24,5,14,5,20.8,0.7268
TREND_PULLBACK_EMA,13,1,4,8,7.7,-0.1004
QUIET_COMPRESSION_BREAK,10,3,2,5,30.0,0.4278
FUNDING_EXTREME_SIGNAL,9,4,4,1,44.4,1.0001
POST_DISPLACEMENT_CONTINUATION,1,0,0,1,0.0,0.2151
WHALE_MOMENTUM,1,0,0,1,0.0,-0.7923
MA_CROSS_TREND_SHIFT,1,1,0,0,100.0,12.7132
